,event number,max_Q,max_Q_time,i_start,i_end,event_start_time,HINew,flushing_index, max_C,event_end_time
0,0,8.4100896,2016-12-01 06:30:00,5812,5992,2016-11-30 13:00:00,0.2995916742689814,0.9103969223987657,50.7,2016-12-02 10:00:00
1,1,11.32672,2016-12-18 13:45:00,7467,7655,2016-12-17 18:45:00,0.24300842288062252,0.9015073964793963,99.8,2016-12-19 17:45:00
2,3,5.2952416,2017-01-12 22:00:00,9908,10091,2017-01-12 05:00:00,0.3362992539310904,0.7637671386828501,31.8,2017-01-14 02:45:00
3,5,16.423744,2017-02-25 21:00:00,14113,14304,2017-02-25 00:15:00,0.34434204514306466,0.3690375928336269,398.0,2017-02-27 00:00:00
4,8,13.5637472,2017-04-04 07:15:00,17725,17915,2017-04-03 15:15:00,0.2365073928436466,0.4223912332351979,125.0,2017-04-05 14:45:00
5,9,20.3597792,2017-04-06 19:30:00,17980,18145,2017-04-06 07:00:00,0.4147542507173582,0.733203277409286,261.0,2017-04-08 00:15:00
6,10,4.3607872,2017-04-26 09:45:00,19840,20008,2017-04-25 16:00:00,0.17540433890353135,0.6788481216196461,7.2,2017-04-27 10:00:00
7,11,4.1908864,2017-05-02 00:45:00,20419,20559,2017-05-01 16:45:00,0.42405704121922044,0.9003612903225806,77.9,2017-05-03 03:45:00
8,12,6.7110816,2017-05-06 09:45:00,20818,20990,2017-05-05 20:30:00,0.1193345666573257,0.7272727272727272,10.5,2017-05-07 15:30:00
9,13,4.1908864,2017-05-13 20:00:00,21517,21663,2017-05-13 03:15:00,0.14281319880503215,0.7531275221953188,10.3,2017-05-14 15:45:00
10,15,6.4845472,2017-06-06 04:45:00,23769,23932,2017-06-05 14:15:00,0.26850959301381633,0.5068676418123439,34.0,2017-06-07 07:00:00
11,16,5.0687071999999995,2017-06-19 15:00:00,25039,25225,2017-06-18 19:45:00,0.3469773027038934,0.7455673053987437,126.0,2017-06-20 18:15:00
12,18,69.659328,2017-10-30 00:15:00,37741,37927,2017-10-29 03:15:00,-0.03302005980951158,0.9999999009898539,10100.0,2017-10-31 01:45:00
13,20,36.245504,2018-01-12 12:45:00,44956,45146,2018-01-12 07:00:00,,0.44772751692274626,966.0,2018-01-14 06:30:00
14,22,12.4027584,2018-01-23 12:30:00,45981,46151,2018-01-22 23:15:00,0.2588628729403685,0.9998013014753365,203.0,2018-01-24 17:45:00
15,23,4.1625696,2018-02-12 04:45:00,47846,48036,2018-02-11 09:30:00,0.08089790238952753,0.946407831425253,31.1,2018-02-13 09:00:00
16,25,5.0403904,2018-02-25 22:00:00,49159,49318,2018-02-25 01:45:00,0.1250075243549041,0.280058651026393,34.4,2018-02-26 17:30:00
17,26,4.1908864,2018-03-30 17:30:00,52305,52473,2018-03-29 20:15:00,0.22514315226997475,0.6000741289844328,29.1,2018-03-31 14:15:00
18,27,4.4457376,2018-04-04 18:00:00,52812,52985,2018-04-04 03:00:00,0.20589554625046896,0.9205607476635513,14.0,2018-04-05 22:15:00
19,29,16.423744,2018-04-16 20:00:00,53952,54126,2018-04-16 00:00:00,0.2780841829900743,0.4341059962999238,373.0,2018-04-17 19:30:00
20,30,6.6827648,2018-04-25 22:30:00,54820,55009,2018-04-25 01:00:00,0.07414651621268935,0.7420572507077696,35.1,2018-04-27 00:15:00
21,33,25.5700704,2018-07-24 06:00:00,63451,63554,2018-07-23 22:45:00,0.21063086270430273,0.9402073306182895,573.0,2018-07-25 00:30:00
22,34,15.4892896,2018-07-25 08:30:00,63555,63700,2018-07-25 00:45:00,0.14478771778697175,0.6961325966850829,90.4,2018-07-26 13:00:00
23,35,14.753052799999999,2018-08-01 14:00:00,64248,64400,2018-08-01 06:00:00,0.26905698238258635,0.5872545227966137,350.0,2018-08-02 20:00:00
24,36,10.6188,2018-08-04 00:30:00,64466,64633,2018-08-03 12:30:00,0.18309831639512972,0.7409789210432297,59.6,2018-08-05 06:15:00
25,38,30.865312,2018-08-13 23:30:00,65429,65584,2018-08-13 13:15:00,0.10990232647764771,0.817163961057934,859.0,2018-08-15 04:00:00
26,40,4.5590048,2018-09-10 18:45:00,68063,68248,2018-09-09 23:45:00,0.1351565244975852,0.9603469263542301,65.8,2018-09-11 22:00:00
27,41,16.9051296,2018-09-18 09:00:00,68801,68985,2018-09-17 16:15:00,0.2165078714645886,0.7146987012307758,421.0,2018-09-19 14:15:00
28,43,15.6591904,2018-09-26 20:30:00,69667,69790,2018-09-26 16:45:00,0.1790979262470068,0.4427531695100955,263.0,2018-09-27 23:30:00
29,44,9.6560288,2018-09-28 07:00:00,69791,69925,2018-09-27 23:45:00,0.2896384739592774,0.6040299906279287,25.9,2018-09-29 09:15:00
30,45,4.9271232,2018-10-02 15:00:00,70214,70350,2018-10-02 09:30:00,0.1845024199670496,0.812904385334292,57.4,2018-10-03 19:30:00
31,47,4.3324704,2018-10-28 03:00:00,72601,72781,2018-10-27 06:15:00,0.058426522475511035,0.5516873700485151,19.1,2018-10-29 03:15:00
32,48,12.74256,2018-11-03 03:30:00,73223,73381,2018-11-02 17:45:00,0.26692199521276394,0.86729039222742,146.0,2018-11-04 09:15:00
33,49,8.6649408,2018-11-06 15:30:00,73574,73709,2018-11-06 09:30:00,0.19773459260587123,0.4811239441475607,62.5,2018-11-07 19:15:00
34,50,5.9182112,2018-11-09 22:30:00,73878,74029,2018-11-09 13:30:00,0.28922764284550806,0.6572104018912531,19.2,2018-11-11 03:15:00
35,51,4.8988064,2018-11-13 11:00:00,74207,74364,2018-11-12 23:45:00,0.1546691194372792,0.6568093385214008,14.5,2018-11-14 15:00:00
36,52,4.1625696,2018-11-25 01:45:00,75308,75484,2018-11-24 11:00:00,-0.10707946526242833,1.0,32.7,2018-11-26 07:00:00
37,53,18.40592,2018-11-26 20:30:00,75485,75649,2018-11-26 07:15:00,0.2518025177226806,0.7321866435886341,280.0,2018-11-28 00:15:00
38,54,5.238608,2018-12-03 21:30:00,76118,76305,2018-12-02 21:30:00,0.10950654277971344,-0.17543859649122795,3.54,2018-12-04 20:15:00
39,55,24.097596799999998,2018-12-21 12:45:00,77830,78021,2018-12-20 17:30:00,0.22647402457841712,0.8171898157316869,460.0,2018-12-22 17:15:00
40,58,29.73264,2019-01-24 16:45:00,81096,81283,2019-01-23 18:00:00,0.0413316767368409,0.5813926908020687,702.0,2019-01-25 16:45:00
41,59,8.2968224,2019-02-08 14:15:00,82536,82720,2019-02-07 18:00:00,0.27521576285084026,0.8742020277882088,31.4,2019-02-09 16:00:00
42,61,4.0493024,2019-03-15 19:00:00,85919,86103,2019-03-14 23:45:00,0.2371084665012551,0.6295510781194767,29.3,2019-03-16 21:45:00
43,62,4.105936,2019-03-22 05:15:00,86551,86731,2019-03-21 13:45:00,0.09741793858317246,0.9750534568781182,29.1,2019-03-23 10:45:00
44,63,4.6156384,2019-03-31 14:30:00,87440,87630,2019-03-30 20:00:00,0.2668987858425779,0.7519893899204243,9.15,2019-04-01 19:30:00
45,64,5.238608,2019-04-09 19:30:00,88362,88507,2019-04-09 10:30:00,0.06630308951699407,0.3930846223839854,12.4,2019-04-10 22:45:00
46,65,5.9182112,2019-04-13 06:00:00,88682,88847,2019-04-12 18:30:00,0.1870518425464082,0.647969170540739,17.2,2019-04-14 11:45:00
47,66,21.1243328,2019-04-15 03:30:00,88859,89031,2019-04-14 14:45:00,0.37308974996735084,0.5319804024582453,820.0,2019-04-16 09:45:00
48,67,18.5758208,2019-04-20 11:30:00,89351,89540,2019-04-19 17:45:00,0.32534135734258823,0.6035325065764751,161.0,2019-04-21 17:00:00
49,68,4.0493024,2019-04-27 03:45:00,89978,90167,2019-04-26 06:30:00,0.09115196401965822,0.29409763565232183,12.6,2019-04-28 05:45:00
50,69,6.5978144,2019-05-14 00:30:00,91624,91789,2019-05-13 10:00:00,0.30837288372770394,0.8274747870361304,11.1,2019-05-15 03:15:00
51,72,10.194048,2019-10-17 00:00:00,106578,106767,2019-10-16 04:30:00,0.32474706179976714,0.6766019889337521,107.0,2019-10-18 03:45:00
52,74,5.3235584,2019-10-27 16:15:00,107607,107788,2019-10-26 21:45:00,0.15071441143249223,0.37113807437366586,18.0,2019-10-28 19:00:00
53,75,40.776192,2019-11-01 00:30:00,108021,108212,2019-10-31 05:15:00,0.17075361683987264,0.9999775235114946,1380.0,2019-11-02 05:00:00
54,76,3.681184,2019-11-24 13:30:00,110292,110451,2019-11-23 21:00:00,0.12261569871932303,0.9660300717397714,30.7,2019-11-25 12:45:00
55,77,11.4966208,2019-12-10 17:15:00,111814,112005,2019-12-09 17:30:00,0.33291641049824305,0.5344982078853047,25.5,2019-12-11 17:15:00
56,78,12.884144,2019-12-14 20:00:00,112195,112386,2019-12-13 16:45:00,0.2646019945023196,0.7963978073610023,26.6,2019-12-15 16:30:00
57,79,4.0493024,2020-01-12 09:30:00,114977,115148,2020-01-11 16:15:00,0.23647150187272797,0.5517948717948717,9.22,2020-01-13 11:00:00
58,84,4.9271232,2020-02-27 07:00:00,119379,119562,2020-02-26 12:45:00,0.38802889739342705,0.5539160815440454,59.4,2020-02-28 10:30:00
59,85,3.964352,2020-03-13 13:30:00,120861,121031,2020-03-12 23:15:00,0.2473147040449767,0.3641537324464153,13.9,2020-03-14 17:45:00
60,86,3.8510847999999998,2020-03-31 01:45:00,122517,122689,2020-03-30 05:15:00,-0.031437948717948784,0.7955555555555556,3.32,2020-04-01 00:15:00
61,88,30.865312,2020-04-13 17:45:00,123829,124017,2020-04-12 21:15:00,0.13761400337187354,0.744060080700752,704.0,2020-04-14 20:15:00
62,89,45.30688,2020-04-30 23:15:00,125497,125688,2020-04-30 06:15:00,0.0029146101424248226,0.9999795710627626,1420.0,2020-05-02 06:00:00
63,92,26.6744256,2020-08-04 16:00:00,134676,134866,2020-08-03 21:00:00,0.3261121105356237,0.8180262904138905,643.0,2020-08-05 20:30:00
64,100,6.0314784,2021-03-12 17:30:00,155774,155961,2021-03-11 15:30:00,0.2076346258205066,0.595,172.0,2021-03-13 14:15:00
