,event number,max_Q,max_Q_time,i_start,i_end,event_start_time,HINew,flushing_index, max_C,event_end_time
0,1,8.5799904,2016-12-01 06:45:00,5804,5991,2016-11-30 11:00:00,0.2697414456142988,0.9487763915547026,84.6,2016-12-02 09:45:00
1,5,16.565328,2017-02-25 20:30:00,14119,14308,2017-02-25 01:45:00,0.3744440842654874,0.8790687160940326,454.0,2017-02-27 01:00:00
2,6,8.1835552,2017-03-29 16:45:00,17146,17326,2017-03-28 14:30:00,0.2934516766396198,0.6042993630573249,15.5,2017-03-30 11:30:00
3,7,15.0645376,2017-04-04 16:15:00,17728,17917,2017-04-03 16:00:00,0.2841088304274605,0.41843294507033285,163.0,2017-04-05 15:15:00
4,8,21.803936,2017-04-06 19:45:00,17981,18147,2017-04-06 07:15:00,0.2975030142508998,0.9334442595673876,493.0,2017-04-08 00:45:00
5,11,10.278998399999999,2017-05-02 01:45:00,20431,20585,2017-05-01 19:45:00,0.31685542886501195,0.5868179439608012,127.0,2017-05-03 10:15:00
6,12,9.5427616,2017-05-06 22:15:00,20841,21030,2017-05-06 02:15:00,0.12000752681012448,0.30686406460296095,18.9,2017-05-08 01:30:00
7,16,6.5978144,2017-06-06 04:00:00,23772,23930,2017-06-05 15:00:00,0.26702693057497556,0.5594553585689187,25.5,2017-06-07 06:30:00
8,20,7.4473184,2017-07-12 15:15:00,27250,27404,2017-07-11 20:30:00,0.38009268261718976,0.7736315630911619,654.0,2017-07-13 11:00:00
9,25,78.720704,2017-10-30 00:45:00,37735,37925,2017-10-29 01:45:00,-0.019291851763551516,0.9115567469432945,9950.0,2017-10-31 01:15:00
10,27,26.476208,2018-01-13 07:30:00,45018,45171,2018-01-12 22:30:00,0.02145716955479608,0.5870786516853932,378.0,2018-01-14 12:45:00
11,28,9.20296,2018-01-23 13:00:00,45963,46147,2018-01-22 18:45:00,0.2212046962098737,0.8134450719621059,112.0,2018-01-24 16:45:00
12,31,7.6738528,2018-02-25 11:30:00,49156,49312,2018-02-25 01:00:00,0.2740825399665377,0.6915529010238908,51.8,2018-02-26 16:00:00
13,35,22.9649248,2018-04-16 14:45:00,53936,54123,2018-04-15 20:00:00,0.3124685899169094,0.5368835875512394,570.0,2018-04-17 18:45:00
14,36,8.2685056,2018-04-25 21:45:00,54820,55010,2018-04-25 01:00:00,0.27327988615016,0.9323615160349854,18.6,2018-04-27 00:30:00
15,39,41.908864,2018-07-24 09:15:00,63419,63555,2018-07-23 14:45:00,0.002937655519733649,0.8413649079947988,2560.0,2018-07-25 00:45:00
16,40,29.449472,2018-07-25 09:00:00,63556,63700,2018-07-25 01:00:00,0.0686064529342139,0.7604545454545455,691.0,2018-07-26 13:00:00
17,41,17.8679008,2018-08-01 14:00:00,64253,64396,2018-08-01 07:15:00,0.3149282834029744,0.8330163284677614,277.0,2018-08-02 19:00:00
18,42,21.1809664,2018-08-04 00:45:00,64467,64619,2018-08-03 12:45:00,0.1298742090738138,0.9014575003224558,159.0,2018-08-05 02:45:00
19,43,6.088112,2018-08-08 21:30:00,64942,65090,2018-08-08 11:30:00,0.13316490791997987,0.38109452736318405,22.1,2018-08-10 00:30:00
20,45,20.3597792,2018-08-14 00:15:00,65423,65592,2018-08-13 11:45:00,0.26994160314624177,0.773177177799658,195.0,2018-08-15 06:00:00
21,46,114.116704,2018-08-17 20:15:00,65819,65959,2018-08-17 14:45:00,0.3183665366090691,0.986481574385888,6660.0,2018-08-19 01:45:00
22,48,15.0645376,2018-09-18 09:45:00,68798,68989,2018-09-17 15:30:00,0.31110796482638337,0.992657024597141,274.0,2018-09-19 15:15:00
23,50,11.4966208,2018-09-25 17:45:00,69513,69663,2018-09-25 02:15:00,0.15352683339450698,0.5362417943107222,74.6,2018-09-26 15:45:00
24,51,14.86632,2018-09-26 20:30:00,69664,69789,2018-09-26 16:00:00,0.19466522095149735,0.7941381716678296,154.0,2018-09-27 23:15:00
25,52,11.1285024,2018-09-28 06:15:00,69790,69927,2018-09-27 23:30:00,0.3020114777653906,0.82063305978898,25.8,2018-09-29 09:45:00
26,53,6.9659328,2018-10-02 16:30:00,70215,70347,2018-10-02 09:45:00,0.1559231755180416,0.8829584445291652,30.2,2018-10-03 18:45:00
27,55,12.7991936,2018-11-03 04:00:00,73225,73383,2018-11-02 18:15:00,0.2583002073220619,0.9305816951512711,92.9,2018-11-04 09:45:00
28,56,9.4011776,2018-11-06 15:00:00,73568,73717,2018-11-06 08:00:00,0.20283546542323008,0.6974921630094043,22.3,2018-11-07 21:15:00
