,event number,max_Q,max_Q_time,i_start,i_end,event_start_time,HINew,flushing_index, max_C,event_end_time
29,57,7.3057343999999995,2018-11-09 21:30:00,73868,74031,2018-11-09 11:00:00,0.2898848388855495,0.7944025834230354,10.9,2018-11-11 03:45:00
30,60,16.7635456,2018-11-26 20:00:00,75483,75656,2018-11-26 06:45:00,0.23216612628017816,0.8842747886757011,151.0,2018-11-28 02:00:00
31,61,6.0314784,2018-12-03 18:00:00,76121,76312,2018-12-02 22:15:00,0.029037128857685807,0.11046511627906974,3.77,2018-12-04 22:00:00
32,62,37.095008,2018-12-22 00:15:00,77838,78025,2018-12-20 19:30:00,0.17680383845398318,0.8298399799527458,559.0,2018-12-22 18:15:00
33,65,21.803936,2019-01-24 16:30:00,81107,81290,2019-01-23 20:45:00,0.09130831503297404,0.5656318992822605,351.0,2019-01-25 18:30:00
34,66,8.7498912,2019-02-08 15:00:00,82539,82728,2019-02-07 18:45:00,0.2867713875994258,0.7991313789359393,22.1,2019-02-09 18:00:00
35,71,7.2491008,2019-04-09 19:00:00,88361,88512,2019-04-09 10:15:00,0.16438364153548657,0.17258434905493727,58.6,2019-04-11 00:00:00
36,72,6.3429632,2019-04-13 19:30:00,88673,88851,2019-04-12 16:15:00,-0.06537322107951865,0.11403508771929827,18.4,2019-04-14 12:45:00
37,73,28.883136,2019-04-15 04:15:00,88852,89030,2019-04-14 13:00:00,0.275922881388907,0.5473226914528188,992.0,2019-04-16 09:30:00
38,74,24.4373984,2019-04-20 12:00:00,89349,89539,2019-04-19 17:15:00,0.13481883574538947,0.9497332444148049,362.0,2019-04-21 16:45:00
39,75,6.796032,2019-04-27 05:00:00,89985,90175,2019-04-26 08:15:00,0.1652402430243022,0.46534653465346526,13.1,2019-04-28 07:45:00
40,77,6.5694976,2019-05-14 02:00:00,91617,91718,2019-05-13 08:15:00,-0.13291376798703738,0.5164960182025028,10.1,2019-05-14 09:30:00
41,81,8.070288,2019-10-17 02:30:00,106584,106769,2019-10-16 06:00:00,0.3879395105518599,0.6062416393043902,65.8,2019-10-18 04:15:00
42,84,65.12864,2019-11-01 00:45:00,108020,108209,2019-10-31 05:00:00,0.03938362056528692,0.9953586783563791,6470.0,2019-11-02 04:15:00
43,87,8.3251392,2019-12-10 17:30:00,111833,112020,2019-12-09 22:15:00,0.08658270380277358,0.6407828282828283,37.4,2019-12-11 21:00:00
44,88,14.6964192,2019-12-14 19:30:00,112220,112411,2019-12-13 23:00:00,0.13571326730306993,1.0,122.0,2019-12-15 22:45:00
45,95,6.37128,2020-02-27 08:15:00,119383,119552,2020-02-26 13:45:00,0.21484266722119374,0.4415713127308767,89.7,2020-02-28 08:00:00
46,98,6.1447456,2020-03-30 20:45:00,122498,122680,2020-03-30 00:30:00,-0.2114527979240134,0.024200518582540992,14.6,2020-03-31 22:00:00
47,100,47.572224,2020-04-13 17:45:00,123836,124017,2020-04-12 23:00:00,0.21403504483014563,0.9999913017341443,2070.0,2020-04-14 20:15:00
48,101,56.067264,2020-05-01 00:45:00,125499,125689,2020-04-30 06:45:00,0.02292720732964793,0.9632875284062749,2180.0,2020-05-02 06:15:00
49,103,9.1463264,2020-06-28 15:15:00,131183,131289,2020-06-28 11:45:00,0.068252059920406,0.5583581851708517,659.0,2020-06-29 14:15:00
50,105,11.185136,2020-08-04 17:00:00,134679,134867,2020-08-03 21:45:00,0.2813184990833813,0.9036926064177031,239.0,2020-08-05 20:45:00
51,109,6.5978144,2020-09-30 06:00:00,140102,140289,2020-09-29 09:30:00,0.2277131227839146,0.7856845031271718,36.0,2020-10-01 08:15:00
52,113,30.298976,2020-11-30 21:45:00,146020,146210,2020-11-30 01:00:00,0.3073132631985383,0.9999190171291834,383.0,2020-12-02 00:30:00
53,114,325.6432,2020-12-25 02:45:00,148342,148533,2020-12-24 05:30:00,-0.054262688359865266,0.9411763771625982,204000.0,2020-12-26 05:15:00
54,119,7.3057343999999995,2021-03-12 18:00:00,155799,155988,2021-03-11 21:45:00,0.18123965993907773,0.9210013003901171,350.0,2021-03-13 21:00:00
55,121,12.459392,2021-03-26 05:00:00,157102,157291,2021-03-25 11:30:00,0.4153448871331329,0.12541254125412538,363.0,2021-03-27 10:45:00
56,122,9.5427616,2021-03-28 19:45:00,157377,157531,2021-03-28 08:15:00,0.23880958432342997,0.6008230452674899,97.6,2021-03-29 22:45:00
57,130,19.82176,2021-07-09 08:15:00,167213,167379,2021-07-08 19:15:00,0.17899905239815397,0.932490684591218,1380.0,2021-07-10 12:45:00
58,131,8.1835552,2021-07-12 06:45:00,167480,167659,2021-07-11 14:00:00,0.12995272774963224,0.8948811700182815,50.4,2021-07-13 10:45:00
59,134,25.201952,2021-08-23 08:30:00,171501,171692,2021-08-22 11:15:00,-0.011808742047142056,0.9170104294858974,2290.0,2021-08-24 11:00:00
60,135,10.7320672,2021-09-02 01:00:00,172440,172629,2021-09-01 06:00:00,0.20406909138308535,0.7152391546162402,163.0,2021-09-03 05:15:00
61,136,9.2595936,2021-09-09 02:00:00,173161,173306,2021-09-08 18:15:00,0.37740652442029693,0.29936542419391726,352.0,2021-09-10 06:30:00
62,137,6.1447456,2021-09-15 17:45:00,173810,173955,2021-09-15 12:30:00,0.13527224965360884,0.999276755470109,110.0,2021-09-17 00:45:00
