,event number,max_Q,max_Q_time,i_start,i_end,event_start_time,HINew,flushing_index, max_C,event_end_time
0,5,50.120736,2016-12-01 08:00:00,5810,5996,2016-11-30 12:30:00,0.28627658606672907,0.98180636777128,799.0,2016-12-02 11:00:00
1,9,63.995968,2016-12-18 16:45:00,7481,7672,2016-12-17 22:15:00,0.033721711599124994,0.23150762281197068,2000.0,2016-12-19 22:00:00
2,10,32.56432,2016-12-27 20:15:00,8342,8533,2016-12-26 21:30:00,0.09047863247863246,-0.005714285714285339,44.8,2016-12-28 21:15:00
3,11,45.023711999999996,2017-01-03 23:45:00,9043,9231,2017-01-03 04:45:00,0.36473872366326915,0.7528735632183908,161.0,2017-01-05 03:45:00
4,12,51.819744,2017-01-13 01:15:00,9912,10103,2017-01-12 06:00:00,0.11069892808800326,0.8750470455400828,286.0,2017-01-14 05:45:00
5,13,35.962336,2017-01-17 23:00:00,10416,10566,2017-01-17 12:00:00,-0.16876711050929033,0.5829383886255923,41.1,2017-01-19 01:30:00
6,14,36.81184,2017-01-24 04:15:00,10980,11166,2017-01-23 09:00:00,0.1476112829324169,0.34500000000000003,42.7,2017-01-25 07:30:00
7,15,36.528672,2017-01-26 20:45:00,11267,11418,2017-01-26 08:45:00,0.01739799902865449,0.5502958579881654,35.1,2017-01-27 22:30:00
8,20,127.142432,2017-02-25 22:15:00,14121,14312,2017-02-25 02:15:00,0.10609043553925451,0.9268239878761636,4800.0,2017-02-27 02:00:00
9,25,60.031616,2017-03-29 18:00:00,17141,17331,2017-03-28 13:15:00,-0.11775293947424514,0.29829351535836174,182.0,2017-03-30 12:45:00
10,26,51.819744,2017-03-31 18:30:00,17402,17510,2017-03-31 06:30:00,0.25721637300503175,0.6026894865525673,109.0,2017-04-01 09:30:00
11,27,40.776192,2017-04-02 20:45:00,17615,17715,2017-04-02 11:45:00,0.01343261181290575,0.6862068965517241,45.3,2017-04-03 12:45:00
12,28,105.055328,2017-04-04 08:00:00,17726,17917,2017-04-03 15:30:00,0.21270071639957389,0.6504824861332726,2650.0,2017-04-05 15:15:00
13,29,163.954272,2017-04-06 20:30:00,17986,18150,2017-04-06 08:30:00,0.16886212667618034,0.9997163281515943,3590.0,2017-04-08 01:30:00
14,33,62.29696,2017-05-02 03:45:00,20425,20585,2017-05-01 18:15:00,-0.13450933390259745,0.9998459320560367,916.0,2017-05-03 10:15:00
15,34,51.536576,2017-05-06 08:00:00,20824,20985,2017-05-05 22:00:00,0.10161546675645484,0.5637119113573408,100.0,2017-05-07 14:15:00
16,35,33.696992,2017-05-13 23:15:00,21521,21671,2017-05-13 04:15:00,0.28187198090273013,0.7784450576205163,65.6,2017-05-14 17:45:00
17,40,32.847488,2017-06-03 08:30:00,23508,23641,2017-06-02 21:00:00,0.05943182255736588,0.655680224403927,78.5,2017-06-04 06:15:00
18,41,46.156384,2017-06-06 06:00:00,23774,23937,2017-06-05 15:30:00,-0.17509816022159813,0.12845908005104767,922.0,2017-06-07 08:15:00
19,42,37.944511999999996,2017-06-19 18:00:00,25048,25225,2017-06-18 22:00:00,-0.1637630567678708,0.24857033014561009,1670.0,2017-06-20 18:15:00
20,59,385.10848,2017-10-30 02:00:00,37743,37934,2017-10-29 03:45:00,-0.11186110642304355,0.9796867463762597,59100.0,2017-10-31 03:30:00
21,68,225.968064,2018-01-13 07:30:00,44959,45150,2018-01-12 07:45:00,,0.9575731862537123,8090.0,2018-01-14 07:30:00
22,71,119.49689599999999,2018-01-23 13:45:00,45962,46151,2018-01-22 18:30:00,0.2814033274008569,0.8340248962655602,2270.0,2018-01-24 17:45:00
23,73,39.077184,2018-02-12 07:00:00,47851,48034,2018-02-11 10:45:00,0.08048948253872484,0.9238578680203046,146.0,2018-02-13 08:30:00
24,74,36.81184,2018-02-16 16:30:00,48245,48435,2018-02-15 13:15:00,0.24476895344396998,0.5086906141367322,126.0,2018-02-17 12:45:00
25,78,56.067264,2018-02-25 13:00:00,49157,49320,2018-02-25 01:15:00,0.24253128141146058,0.5639595677936564,610.0,2018-02-26 18:00:00
26,79,35.962336,2018-03-02 08:45:00,49622,49782,2018-03-01 21:30:00,0.41313222653358933,0.8195592286501379,163.0,2018-03-03 13:30:00
27,81,33.413824,2018-04-04 21:00:00,52827,52995,2018-04-04 06:45:00,-0.019146319337554202,0.8869778869778869,57.1,2018-04-06 00:45:00
28,83,154.892896,2018-04-16 14:45:00,53953,54129,2018-04-16 00:15:00,0.35542726954402626,0.8944403155043033,4190.0,2018-04-17 20:15:00
29,84,47.572224,2018-04-26 00:00:00,54821,55011,2018-04-25 01:15:00,-0.15200428102915972,0.4963325183374083,216.0,2018-04-27 00:45:00
30,85,33.130656,2018-04-27 17:30:00,55051,55165,2018-04-27 10:45:00,-0.012897461734693852,0.7023809523809523,37.6,2018-04-28 15:15:00
31,91,32.56432,2018-05-19 17:30:00,57110,57299,2018-05-18 21:30:00,0.024536358902475033,0.34343276589098864,325.0,2018-05-20 20:45:00
32,99,172.449312,2018-07-24 10:30:00,63451,63561,2018-07-23 22:45:00,0.008655179915956414,0.888,5100.0,2018-07-25 02:15:00
33,100,122.611744,2018-07-25 10:00:00,63562,63712,2018-07-25 02:30:00,0.07445557977357058,0.78,1270.0,2018-07-26 16:00:00
34,101,109.586016,2018-08-01 15:15:00,64247,64403,2018-08-01 05:45:00,0.07781513237094552,0.9836836283185841,1850.0,2018-08-02 20:45:00
35,102,175.847328,2018-08-04 01:15:00,64469,64625,2018-08-03 13:15:00,0.08457234729542307,0.41550501345072144,8200.0,2018-08-05 04:15:00
36,103,38.22768,2018-08-09 00:45:00,64952,65104,2018-08-08 14:00:00,-0.2522645936574457,0.06764090797483681,1190.0,2018-08-10 04:00:00
37,105,209.54432,2018-08-14 01:00:00,65433,65589,2018-08-13 14:15:00,-0.029835713407833024,0.7956280115391569,6370.0,2018-08-15 05:15:00
38,106,339.8016,2018-08-17 22:30:00,65817,65969,2018-08-17 14:15:00,-0.07704535264261585,0.9183590643083892,42900.0,2018-08-19 04:15:00
39,107,37.944511999999996,2018-08-22 10:15:00,66244,66375,2018-08-22 01:00:00,0.005614189754833506,0.4739884393063585,87.2,2018-08-23 09:45:00
40,110,35.679168,2018-09-10 20:45:00,68065,68251,2018-09-10 00:15:00,0.1719113149865308,0.7777777777777778,218.0,2018-09-11 22:45:00
41,112,111.001856,2018-09-18 12:15:00,68818,68987,2018-09-17 20:30:00,0.02039990571068034,0.5996238660033396,2330.0,2018-09-19 14:45:00
42,114,88.631584,2018-09-25 14:30:00,69507,69671,2018-09-25 00:45:00,0.31599696228558066,0.9097182476738671,618.0,2018-09-26 17:45:00
43,115,105.33849599999999,2018-09-26 23:15:00,69672,69791,2018-09-26 18:00:00,0.05880286170084993,0.6008920221566795,1460.0,2018-09-27 23:45:00
44,116,77.021696,2018-09-28 08:00:00,69792,69931,2018-09-28 00:00:00,0.17060840943540526,0.6870324189526185,222.0,2018-09-29 10:45:00
45,117,47.289056,2018-10-02 18:00:00,70221,70362,2018-10-02 11:15:00,-0.00940118725286485,0.35503788941902886,375.0,2018-10-03 22:30:00
46,118,35.396,2018-10-06 05:30:00,70556,70695,2018-10-05 23:00:00,-0.022004443434092708,0.519879969992498,144.0,2018-10-07 09:45:00
47,122,101.090976,2018-11-03 05:00:00,73195,73386,2018-11-02 10:45:00,0.08423436699098286,1.0,1120.0,2018-11-04 10:30:00
48,123,70.508832,2018-11-06 15:30:00,73491,73712,2018-11-05 12:45:00,-0.019187199515776156,0.22400766201979352,966.0,2018-11-07 20:00:00
49,124,53.235583999999996,2018-11-10 00:45:00,73878,74034,2018-11-09 13:30:00,0.3314959333482284,0.7925356750823271,104.0,2018-11-11 04:30:00
50,125,42.758368,2018-11-13 13:00:00,74205,74367,2018-11-12 23:15:00,0.11857397127584886,0.6486928104575164,71.3,2018-11-14 15:45:00
