,event number,max_Q,max_Q_time,i_start,i_end,event_start_time,HINew,flushing_index, max_C,event_end_time
0,5,14.1300832,2017-01-12 21:45:00,9908,10099,2017-01-12 05:00:00,0.05772748004998917,1.0,117.0,2017-01-14 04:45:00
1,9,36.245504,2017-02-25 21:30:00,14113,14301,2017-02-25 00:15:00,0.28716808704515673,0.7988505747126436,916.0,2017-02-26 23:15:00
2,11,19.8783936,2017-03-29 17:30:00,17152,17332,2017-03-28 16:00:00,0.15647723562152138,0.40663900414937765,67.4,2017-03-30 13:00:00
3,12,24.7772,2017-04-04 23:15:00,17768,17959,2017-04-04 02:00:00,0.23062436212053286,0.4232130219391365,154.0,2017-04-06 01:45:00
4,13,37.944511999999996,2017-04-06 20:00:00,17999,18151,2017-04-06 11:45:00,0.3141413448294516,0.9558631758451198,1020.0,2017-04-08 01:45:00
5,17,24.1825472,2017-05-02 01:45:00,20413,20579,2017-05-01 15:15:00,-0.0791097792626362,0.9085460599334073,813.0,2017-05-03 08:45:00
6,18,13.3655296,2017-05-05 14:30:00,20762,20904,2017-05-05 06:30:00,-0.004134530634260317,0.7743190661478598,14.1,2017-05-06 18:00:00
7,21,12.317808,2017-06-06 04:00:00,23769,23853,2017-06-05 14:15:00,0.17300572501972325,0.9085825431558472,33.7,2017-06-06 11:15:00
8,23,12.6859264,2017-06-30 23:00:00,26162,26291,2017-06-30 12:30:00,-0.0547811976963296,0.6321853795928818,305.0,2017-07-01 20:45:00
9,31,87.498912,2017-10-30 02:15:00,37753,37943,2017-10-29 06:15:00,-0.013393682510668239,0.9828547405550929,17500.0,2017-10-31 05:45:00
10,34,56.067264,2018-01-13 06:30:00,44966,45157,2018-01-12 09:30:00,0.15061918728719825,1.0,2810.0,2018-01-14 09:15:00
11,35,27.0142272,2018-01-23 13:30:00,45995,46158,2018-01-23 02:45:00,0.049544273110251086,0.9465735859809089,565.0,2018-01-24 19:30:00
12,39,15.432656,2018-02-25 11:00:00,49145,49305,2018-02-24 22:15:00,0.18383291351447364,1.0,52.6,2018-02-26 14:15:00
13,40,12.6576096,2018-03-02 04:30:00,49619,49760,2018-03-01 20:45:00,0.21959764284401007,0.9007170435741864,23.1,2018-03-03 08:00:00
14,41,14.1584,2018-03-30 20:45:00,52322,52456,2018-03-30 00:30:00,0.1455737034383837,0.9526261585993819,31.6,2018-03-31 10:00:00
